tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Lexus Rx 350 Luxury 2024,42900000000,2024,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,3900,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Transit 2018,4650000000,2018,Kiểu Dáng Van/Minivan,Tình Trạng Xe Cũ,Trong Nước,100000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Dầu
Kia Morning Si 1.25 Mt 2016,1350000000,2016,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,40000,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Mazda 6 2004,1050000000,2004,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,12345,"Tỉnh Thành
Ninh Bình",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Chevrolet Cruze Ls 1.6 2013,1700000000,2013,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,117000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
Toyota Innova 2.0G 2022,7250000000,2022,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,40000,"Tỉnh Thành
Đà Nẵng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Wigo 1.2 G At 2019,2650000000,2019,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,52000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Subaru Forester 2.0I-L Eyesight 2023,7900000000,2023,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,15000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mazda 2 Sedan 1.5L Luxury 2020,3850000000,2020,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,50000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Corolla Altis 1.8 V 2022,6000000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,5000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
