Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Lexus RX 350 Luxury 2024,4290000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 3.900 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Transit 2018,465000000,Nam SX 2018,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Hyundai Tucson 2.0 Ð?c bi?t 2016,,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 74.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning Si 1.25 MT 2016,135000000,Nam SX 2016,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda 6 2004,105000000,Nam SX 2004,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 12.345 km,"T?nh thành
Ninh Bình",H?p s? S? sàn,Nhiên li?u Máy xang
Chevrolet Cruze LS 1.6 2013,170000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 117.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Innova 2.0G 2022,725000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Ðà N?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Wigo 1.2 G AT 2019,265000000,Nam SX 2019,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 52.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Forester 2.0i-L EyeSight 2023,790000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 15.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 2 Sedan 1.5L Luxury 2020,385000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8 V 2022,600000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 5.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF6 Plus 2025,,Nam SX 2025,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 13.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Kia Sonet 1.5 Premium 2023,560000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 31.000 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.0L 4x2 AT 2022,585000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT Ð?c bi?t 2019,368000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 90.000 km,"T?nh thành
Th?a Thiên Hu?",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 2019,987000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 74.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 300 4Matic 2019,1087000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 71.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz E200 E200 2019,1039000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 66.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
