Movie name,Movie rate,Description,Creators,Trailer link,More Info
The Fantastic 4: First Steps,7.2,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",Matt Shakman,https://www.youtube.com/watch?v=b-WdRqzSJ9w,https://www.themoviedb.org/movie/617126
Demon Slayer: Kimetsu no Yaiba Infinity Castle,7.784,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",Haruo Sotozaki,https://www.youtube.com/watch?v=juD6zgap4-I,https://www.themoviedb.org/movie/1311031
War of the Worlds,4.404,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",Rich Lee,https://www.youtube.com/watch?v=d9erkpdh5o0,https://www.themoviedb.org/movie/755898
Mantis,6.0,"Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization.",Lee Tae-sung,https://www.youtube.com/watch?v=PItlVyrf15U,https://www.themoviedb.org/movie/1267319
Valiant One,6.25,"With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",Steve Barnett,https://www.youtube.com/watch?v=rfXpM39HeZM,https://www.themoviedb.org/movie/1009640
Aztec Batman: Clash of Empires,8.053,"In the time of the Aztec empire, tragedy strikes Yohualli Coatl when his father is murdered by Spanish conquistadors. To warn King Moctezuma and his high priest, Yoka, of imminent danger, Yohualli escapes to Tenochtitlán. There, he trains in the temple of the bat god Tzinacan with his mentor, developing equipment and weaponry to confront the Spanish invasion and avenge his father’s death. Along the way, he encounters key figures like the fierce Jaguar Woman and the conquistador Hernán Cortés.",Juan Jose Meza-Leon,https://www.youtube.com/watch?v=-bd_AUSkrRA,https://www.themoviedb.org/movie/987400
The Conjuring: Last Rites,6.6,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,Michael Chaves,https://www.youtube.com/watch?v=p4aWdkM5xF8,https://www.themoviedb.org/movie/1038392
Gunman,5.8,"A former hitman accepts a minor job for his former boss. However, in a corrupt neighborhood, nothing is what it seems, and he quickly gets caught in a web of unexpected events. A race against time and his own destiny.",Cristian Tapia Marchiori,https://www.youtube.com/watch?v=nP7xe8ZymNs,https://www.themoviedb.org/movie/1450529
Weapons,7.4,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Zach Cregger,https://www.youtube.com/watch?v=QKHySfXqN0I,https://www.themoviedb.org/movie/1078605
Nobody 2,7.153,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",Timo Tjahjanto,https://www.youtube.com/watch?v=UGOvEad8qd4,https://www.themoviedb.org/movie/1007734
